page,section,new_page,start,end
516,161,194,—. T7 two-lobed,(Ananthidium)
516,162,194,Key to,(Ananthidium)
517,163,195,Key to,(Hoplostelis s. str.)
518,164,196,Key to,emargination; S5
519,164,197,of male without,(Anthidulum)
521,165,198,Key to,(Hypanthidium s. str.)
522,166,199,Key to,(Chrisanthidium)
523,166,200,—. Omaulus,(Allanthidium)
523,167,200,Key to,(Trichanthidioides)
524,168,201,Key to,(Rapanthidium)
525,169,202,Key to,(Plesianthidium s. str.)
526,170,203,Key to,(Pseudoanthidium s. str.)
528,171,204,Key to,(Meganthidium)
530,172,205,Key to,at-
531,172,206,"tened, little",(Pseudostelis)
531,173,206,Key to,(Stelis s. str.)
533,174,207,Key to,........ 4
534,174,208,—. Subantennal,(Congotrachusa)
534,175,208,Key to,(Trachusomimus)
539,176,209,Key to,(as in Fig.
540,176,210,83-1); third,Aglaoapis
543,177,211,Key to,Radoszkowskiana
543,178,211,Key to,Megachile
545,179,212,Key to,lines or
546,179,213,spots of,(Rhinocoelioxys)
546,180,213,Key to,female with
547,180,214,"out keel,",(Coelioxys s. str.)
558,181,215,Key to,(Megachiloides) (in part)
559,181,216,—. Mandible,(Neochelynia)
559,182,216,Key to,...... 7
560,182,217,—. S4 exposed,black or fuscous;
561,182,218,front coxa,(Litomegachile)
561,183,218,Key to,.......... 12
562,183,219,12(11). Cutting,(Paracella)
562,184,219,Key to,"Paracella, Xanthosarus)"
562,184,219,Key to,shaped cut-
563,184,220,ting edges,(Amegachile)
564,184,221,—. Mandible,(Paracella)
564,185,221,Key to,(Megella
565,185,222,15(2),"Eutricharaea, Paracella)"
565,186,222,Key to,(Eutricharaea)
565,187,222,Key to,T6 low (rarely
565,187,223,even absent),(Eutricharaea)
588,188,224,Key to,"behind eye,"
589,188,225,upper end,Caenonomada (Sec. 108)
590,188,226,—. Arolia,.......... 35
591,188,227,35(34).,Protepeolini (Sec. 105)
592,189,228,Key to,Xylocopini (Sec. 88)
593,189,229,—. Stigma,"(Euceratina)] short,"
594,189,230,more or less,Manueliini (Sec. 87)
599,190,231,Key to,....... 7
600,190,232,—. Outer,(Schonnherria) (in part)
600,191,232,Key to,(Xylocopsis)
601,191,233,—. Labrum,(Cirroxylocopa)
601,192,233,Key to,"cariniform, el"
602,192,234,evated at lower,"throughout,"
603,192,235,thickly pubescent,(Xenoxylocopa)
603,193,235,Key to,........ 15
604,193,236,13(12). Malar,(Mesotrichia)
613,194,237,Key to,S5 each with
614,194,238,"row of coarse,",(Hirashima)
614,195,238,Key to,(Zadontomerus)
623,196,239,Key to,Effractapis
624,196,240,—. Labial,Braunsapis
624,197,240,Key to,"Allodapula, Eucondylops"
626,198,241,Key to,(Allodapulodes)
626,199,241,Key to,genus Eucondylops
627,200,242,Key to,(Halterapis)
629,201,243,Key to,reduced to mere
630,201,244,convexity so,(Brevineura)
632,202,245,Key to,(Exoneuridia s str.)
639,203,246,Key to,Triopasites
640,203,247,—. Median,Brachynomada
640,204,247,Key to,(Melanomada)
640,205,247,Key to,(Spinokelita)
647,206,248,Key to,Rhinepeolus
648,207,249,—. Supraclypea,Pseudepeolus
650,208,250,Key to,Epeolus group
650,209,250,Key to,(Parammobates)
653,210,251,Key to,Schmiedeknechtia
656,211,252,Key to,Neopasites
657,212,253,Key to,(Neopasites s. str.)
660,213,254,Key to,(Phileremulus)
661,214,255,Key to,"apically, extend"
662,214,256,ing under and,Ammobates
662,215,256,Key to,(Ammobates s. str.)
664,216,257,Key to,(Sphecodopsis s. str.)
666,217,258,Key to,Caenoprosopina
672,218,259,Key to,female S6
673,218,260,with spinelike,Isepeolus
674,219,261,Key to,..... 2
675,219,262,2(1). Apex,Osirinus
676,220,263,Key to,(Parepeolus s. str.)
681,221,264,Key to,Exomalopsis
681,222,264,Key to,(Anthophorula s. str.)
683,223,265,Key to,(Exomalopsis s. str.)
685,224,266,Key to,Tarsalia
688,225,267,Key to,Caenonomada
689,225,268,—. Integument,Chalepogenus s. str
690,226,269,Key to,(Chalepogenus s. str.)
691,227,270,Key to,(Paratetrapedia s. str.)
694,228,271,Key to,Tetrapedia
698,229,272,Key to,Ctenoplectrina
701,230,273,Key to,Melitoma
702,230,274,—. Second,Diadasina
704,231,275,Key to,(Leptometriella)
710,232,276,Key to,in front
711,232,277,of lower,Melissoptila
713,232,279,—. First,"broad, oc"
714,232,280,cupying well,"pubescence, usually"
715,232,281,forming apical,Platysvastra
716,232,282,—. Scutellum,slightly elevated
717,232,283,behind ocelli;,Alloscirtetica
717,233,283,Key to,"is lost), ex"
718,233,284,panded apically,Agapanthinus
719,233,285,—. Tibial,T etraloniella(in part)
719,234,285,Key to,ly much
720,234,286,less than length,T etraloniella (Pectinapis)
720,235,286,Key to,T etraloniella
721,236,287,Key to,(Alloscirtetica s. str.)
723,237,288,Key to,(Pseudeucera)
724,238,289,Key to,(Hetereucera)
726,239,290,Key to,(Florilegus s. str.)
726,240,290,Key to,(Florilegus s. str.)
727,241,291,Key to,(Pachyhalonia)
727,242,291,Key to,(Dasyhalonia)
729,243,292,Key to,(Svastropsis)
730,244,293,Key to,(Eumelissodes)
730,245,293,Key to,orbits distinctly
